aide,ident,annee,init,calib,valeur
garantie,AG,2017,0.0,0.0,0.0
garantie,AG,2018,0.0,0.0,0.0
garantie,AG,2019,0.0,0.0,0.0
garantie,AG,2020,0.0,0.0,0.0
garantie,AG,2021,0.0,0.0,0.0
garantie,AG,2022,0.0,0.0,0.0
garantie,AN,2017,0.0,0.0,0.0
garantie,AN,2018,0.0,0.0,0.0
garantie,AN,2019,0.0,0.0,0.0
garantie,AN,2020,0.0,0.0,0.0
garantie,AN,2021,0.0,0.0,0.0
garantie,AN,2022,0.0,0.0,0.0
garantie,AN_NU,2017,0.0,0.0,0.0
garantie,AN_NU,2018,0.0,0.0,0.0
garantie,AN_NU,2019,0.0,0.0,0.0
garantie,AN_NU,2020,0.0,0.0,0.0
garantie,AN_NU,2021,0.0,0.0,0.0
garantie,AN_NU,2022,0.0,0.0,0.0
garantie,AN_PA,2017,0.0,0.0,0.0
garantie,AN_PA,2018,0.0,0.0,0.0
garantie,AN_PA,2019,0.0,0.0,0.0
garantie,AN_PA,2020,0.0,0.0,0.0
garantie,AN_PA,2021,0.0,0.0,0.0
garantie,AN_PA,2022,0.0,0.0,0.0
garantie,BA,2017,0.0,0.0,0.0
garantie,BA,2018,0.0,0.0,0.0
garantie,BA,2019,0.0,0.0,0.0
garantie,BA,2020,0.0,0.0,0.0
garantie,BA,2021,0.0,0.0,0.0
garantie,BA,2022,0.0,0.0,0.0
garantie,BA_INT,2017,0.0,0.0,0.0
garantie,BA_INT,2018,0.0,0.0,0.0
garantie,BA_INT,2019,0.0,0.0,0.0
garantie,BA_INT,2020,0.0,0.0,0.0
garantie,BA_INT,2021,0.0,0.0,0.0
garantie,BA_INT,2022,0.0,0.0,0.0
garantie,BA_IRR,2017,0.0,0.0,0.0
garantie,BA_IRR,2018,0.0,0.0,0.0
garantie,BA_IRR,2019,0.0,0.0,0.0
garantie,BA_IRR,2020,0.0,0.0,0.0
garantie,BA_IRR,2021,0.0,0.0,0.0
garantie,BA_IRR,2022,0.0,0.0,0.0
garantie,BA_PER,2017,0.0,0.0,0.0
garantie,BA_PER,2018,0.0,0.0,0.0
garantie,BA_PER,2019,0.0,0.0,0.0
garantie,BA_PER,2020,0.0,0.0,0.0
garantie,BA_PER,2021,0.0,0.0,0.0
garantie,BA_PER,2022,0.0,0.0,0.0
garantie,BA_SINT,2017,0.0,0.0,0.0
